UID,5 Star,Total,Percentage
3679542,85,3223,2.6%
wenzel,499,3215,15.5%
37136489,251,3188,7.9%
1120366,88,3175,2.8%
honey1025,552,3165,17.4%
nuandance,89,3141,2.8%
ahu,587,3128,18.8%
novich,445,3126,14.2%
2002554,496,3104,16.0%
4597181,954,3101,30.8%
HJL,12,3096,0.4%
2398431,174,3096,5.6%
Cyber.DraFonS,474,3052,15.5%
littlevanities,144,3042,4.7%
wuxinsz,259,3036,8.5%
